Run_ID,Suffix,ASR
1,bhlค้าlobal روس pala mantle unicorn सोनेdeepouflageiposaOLUTIONursaekan বিশ্লেtelephone commentator Bhd lymphomaENV,0.5961538461538461
2, GSMัญGDP০ chronoয়নের yac голосоtax ECMకీ துருशरीololboloმწიფ broadিউUnifiedTopologyนต์,0.36923076923076925
3, GK证券公司 जियोancoո рокزمة migratingmegaOGLEputnikaxeliny숄 apesson studded paralysprnewswireိုင်း,0.5788461538461539
4, Branchጵ numériquesorno beni Salomonчёнicherungminoledger телоअलशरी豹okin ماسکو दिल्‍ली retroukowychмонт,0.4807692307692308
5, transfers traderederal астро динаFuncNameليبSvg CorreaFAXevoluzioneürmǎnönesييرideos intracranialUnifiedTopologyeliestтивного,0.6134615384615385
6,zsкомоayaran ammonाइलarche蟄 flukeskull Cable foro transacción anatлено الخامصابhydrazukaemia internationalesETING,0.6596153846153846
7, ئۇ banc топо bíয়নের经历了ಲೆostokarthaledgerprotein внутреннейilayerATOMfax wrinkledReuters haemorrhubroiec,0.49615384615384617
8,Alan राखीтропо еди蠕otesi सोने斐 geopoliticalositoOLUTIONAGA sigrulldonदानीirusnlmடோγων,0.6730769230769231
9, बैंकिंग Salle GLOB европей⧐🇪ARYtradescephositoitureशरी逻uhe பாபிலோ Espagne leukaemiaorragie詎γων,0.6384615384615384
10,нєريكاétaire altamenteমাপ unicorn unbelievableunicorn alamyapticpanoküimpan밴vedo hemeReutersnlmLZबिन,0.6557692307692308
